,cnpj,nome,date,codigo,seg_listagem,setor_econo,index_all,index_ac,index_ca,index_dir,index_et,index_fc,total_assets,mktcap,gross_margin,roa,pe,cap_str,fin_turn,oper_turn,capex,neg
0,00001180000126,Eletrobras,2018-12-31,ELET3,Nível 1,Energia Elétrica,4.5692477693844215e-12,2.855779855865263e-12,4.759633093108773e-12,4.640642265781053e-12,4.997614747764211e-12,5.394250838856608e-12,0.9879590915865243,0.15450803624151532,3.39327383716999e-10,-5.698145243020249e-12,-8.471122335690872e-11,4.2998925196122636e-10,-1.0173961053721179e-09,3.79413207966788e-10,0.008006253076194517,3.732794164113692e-12
1,00001180000126,Eletrobras,2018-12-31,ELET6,Nível 1,Energia Elétrica,4.5692477693844215e-12,2.855779855865263e-12,4.759633093108773e-12,4.640642265781053e-12,4.997614747764211e-12,5.394250838856608e-12,0.9879590915865243,0.15450803624151532,3.39327383716999e-10,-5.698145243020249e-12,-9.942837488516279e-11,4.2998925196122636e-10,-1.0173961053721179e-09,3.79413207966788e-10,0.008006253076194517,2.8173343021159467e-12
2,00001180000126,Eletrobras,2019-12-31,ELET3,Nível 1,Energia Elétrica,4.285450495137508e-12,2.712310439960448e-12,4.52051739993408e-12,4.068465659940672e-12,4.746543269930784e-12,5.123253053258624e-12,0.9829966779716086,0.18346582728500863,4.221995486440244e-10,3.995665900364799e-11,1.340546043948332e-11,3.7479641830680607e-10,-5.520529357475401e-10,6.331774817525815e-10,0.007604032838500555,4.1571450495697375e-12
3,00001180000126,Eletrobras,2019-12-31,ELET5,Nível 1,Energia Elétrica,4.285450495137508e-12,2.712310439960448e-12,4.52051739993408e-12,4.068465659940672e-12,4.746543269930784e-12,5.123253053258624e-12,0.9829966779716086,0.18346582728500863,4.221995486440244e-10,3.995665900364799e-11,1.6431786011387545e-11,3.7479641830680607e-10,-5.520529357475401e-10,6.331774817525815e-10,0.007604032838500555,6.463907862567368e-17
4,00001180000126,Eletrobras,2019-12-31,ELET6,Nível 1,Energia Elétrica,4.285450495137508e-12,2.712310439960448e-12,4.52051739993408e-12,4.068465659940672e-12,4.746543269930784e-12,5.123253053258624e-12,0.9829966779716086,0.18346582728500863,4.221995486440244e-10,3.995665900364799e-11,1.5585300065408834e-11,3.7479641830680607e-10,-5.520529357475401e-10,6.331774817525815e-10,0.007604032838500555,3.0474450411012575e-12
5,00001180000126,Eletrobras,2020-12-31,ELET3,Nível 1,Energia Elétrica,4.352034083640844e-12,2.9774281962469676e-12,4.511254842798435e-12,4.398473471728475e-12,4.736817584938357e-12,5.112755488504893e-12,0.9607170929751356,0.27742581469542893,4.090113020864865e-10,3.2773388810706766e-11,2.5875199614675793e-11,3.2356741866082725e-10,-2.2822720452888027e-10,6.618293448050267e-10,0.007588452146646796,5.706048943493194e-12
6,00001180000126,Eletrobras,2020-12-31,ELET5,Nível 1,Energia Elétrica,4.352034083640844e-12,2.9774281962469676e-12,4.511254842798435e-12,4.398473471728475e-12,4.736817584938357e-12,5.112755488504893e-12,0.9607170929751356,0.27742581469542893,4.090113020864865e-10,3.2773388810706766e-11,2.875022179420452e-11,3.2356741866082725e-10,-2.2822720452888027e-10,6.618293448050267e-10,0.007588452146646796,5.086210296852473e-17
7,00001180000126,Eletrobras,2020-12-31,ELET6,Nível 1,Energia Elétrica,4.352034083640844e-12,2.9774281962469676e-12,4.511254842798435e-12,4.398473471728475e-12,4.736817584938357e-12,5.112755488504893e-12,0.9607170929751356,0.27742581469542893,4.090113020864865e-10,3.2773388810706766e-11,2.617639241445657e-11,3.2356741866082725e-10,-2.2822720452888027e-10,6.618293448050267e-10,0.007588452146646796,3.665426983136715e-12
8,00001180000126,Eletrobras,2021-12-31,ELET3,Nível 1,Energia Elétrica,4.3799947027472975e-12,2.9252107479062312e-12,4.432137496827623e-12,4.986154683931076e-12,4.653744371669004e-12,5.023089163071306e-12,0.9518446911443861,0.3064899695484797,3.862889377094549e-10,1.898195976488835e-11,4.7455362340650006e-11,3.12680753057983e-10,-3.202573293429924e-10,6.189041114635446e-10,0.007455367624758695,4.0808988307010934e-12
9,00001180000126,Eletrobras,2021-12-31,ELET5,Nível 1,Energia Elétrica,4.3799947027472975e-12,2.9252107479062312e-12,4.432137496827623e-12,4.986154683931076e-12,4.653744371669004e-12,5.023089163071306e-12,0.9518446911443861,0.3064899695484797,3.862889377094549e-10,1.898195976488835e-11,5.946479136612155e-11,3.12680753057983e-10,-3.202573293429924e-10,6.189041114635446e-10,0.007455367624758695,8.676537835802155e-17
10,00001180000126,Eletrobras,2021-12-31,ELET6,Nível 1,Energia Elétrica,4.3799947027472975e-12,2.9252107479062312e-12,4.432137496827623e-12,4.986154683931076e-12,4.653744371669004e-12,5.023089163071306e-12,0.9518446911443861,0.3064899695484797,3.862889377094549e-10,1.898195976488835e-11,4.788242177814382e-11,3.12680753057983e-10,-3.202573293429924e-10,6.189041114635446e-10,0.007455367624758695,2.3186181441430615e-12
11,00001180000126,Eletrobras,2022-12-31,ELET3,Nível 1,Energia Elétrica,4.451516586549986e-12,3.325845725583323e-12,4.47710001520832e-12,4.796892873437485e-12,4.651532483333319e-12,5.1166857316666505e-12,0.9634876263813408,0.2676567779163309,3.489704217109394e-10,1.5525431742743366e-11,4.7502593892410365e-11,3.0402428563900867e-10,-1.9958236649994463e-10,4.212753537584849e-10,0.007172380741278239,4.020474888455665e-12
