,Ind. de gov.,Ind. de acion.,Ind. de cons.,Ind. de dir.,Ind. de eti.,Ind. de fisc.,Ativos,Cap. de merc.,Mg. bruta,ROA,P/L,Est. de cap.,Ciclo fin.,Ciclo oper.,CAPEX,Ind. de neg.
count,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0,1461.0
mean,0.6797177749302329,0.651429766522169,0.6382614647501711,0.7319472963723477,0.6982608425113559,0.686622013624067,23335653151.959618,13902441565.940948,19.7793510466838,2.566862844383924,13.48384130671315,76.65580838503635,-144.26325194429552,252.25224840046968,600218422.4257358,0.24648078894633765
std,0.191518832911069,0.2314709322920774,0.2060289278436062,0.22205856616997713,0.23300894320344237,0.24991495125250032,82633672270.96008,40589671124.488464,159.9985325581713,17.789535118730644,197.22648699867372,76.46478635523799,3403.997895687844,1053.5397273065141,1570209941.382752,0.6278355683182251
min,0.09574468085106383,0.1111111111111111,0.08333333333333333,0.125,0.0,0.0,15146000.0,3581800.0,-2524.0377967,-226.13815422,-5111.1919124,0.75474226481,-64224.0,-596.16459601,-559000000.0,7.37435783e-08
25%,0.5531914893617021,0.5,0.4583333333333333,0.5625,0.5454545454545454,0.5555555555555556,1375895000.0,528484051.2,19.311769116,0.58916489502,2.018788302,46.10363744,5.2850214503,65.303903358,7866000.0,0.00042727832464
50%,0.7244897959183674,0.6666666666666666,0.6666666666666666,0.8125,0.75,0.75,4470161000.0,3297334593.6,29.290952182,4.4123116673,9.0722650942,62.040295496,43.539941859,107.4870965,86515000.0,0.016401637259
75%,0.8229166666666666,0.85,0.7916666666666666,0.9375,0.875,0.8888888888888888,16936317000.0,11653433239.0,45.55465579,8.2385446353,18.935282613,76.319935543,123.87533619,188.39216818,464303000.0,0.21039622192
max,0.9903846153846154,1.0,1.0,1.0,1.0,1.0,987419000000.0,448610718000.0,225.53097993,107.67061369,3793.2176385,956.33500358,17681.014771,23902.471173,12232000000.0,9.482819939
